pl_name,hostname,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_tranmid,st_teff
TOI-1117 b,TOI-1117,2025,2.22816,2.46,8.9,2459386.964,5635.0
WASP-197 b,WASP-197,2025,5.167228,14.44837612,403.32424848,2456885.10428,6050.0
GJ 3998 d,GJ 3998,2025,41.78,2.34,6.07,2460170.55,3726.0
TOI-2093 c,TOI-2093,2025,53.81149,2.3,15.8,2458751.6122,4426.0
WASP-116 b,WASP-116,2025,6.6132,13.67495645,203.41018048,2457092.22528,6250.0
TOI-771 c,TOI-771,2025,7.61,1.5,2.87,,3370.0
TOI-1346 b,TOI-1346,2025,1.7622538,2.39,6.3,2459978.0239,5099.0
K2-73 c,K2-73,2025,1000.0,13.0,1142.0,2456905.0,5867.0
TOI-1346 c,TOI-1346,2025,5.502558,2.23,5.6,2459771.72743,5099.0
TOI-6478 b,TOI-6478,2025,34.005019,4.6,19.2,2459454.90101,3230.0
TOI-6695 c,TOI-6695,2025,242.4,13.6,460.85119015,,6400.0
WASP-194 b,WASP-194,2025,3.183387,15.47960235,373.13054982,2457449.0511,6405.0
TOI-1438 c,TOI-1438,2025,9.428089,2.75,10.6,2458689.9136,5230.0
Kepler-725 c,Kepler-725,2025,207.541,3.08,9.7,,5395.0
TOI-2382 b,TOI-2382,2025,4.6612061,12.25141591,235.19302118,2459215.4585,6033.0
TOI-2031 A b,TOI-2031 A,2025,5.71548654,14.20177855,254.2627256,2459806.029135,6490.0
K2-157 c,K2-157,2025,25.942,6.08,30.8,2458557.02,5334.0
ZTF J1230-2655 b,ZTF J1230-2655,2025,0.23597766,13.78704626,7024.0077947,2460432.5478805,10000.0
TOI-5592 b,TOI-5592,2025,2.6085846,17.14974047,285.72773789,2459794.01216,6237.0
GJ 251 c,GJ 251,2025,53.647,1.8,3.88,2458922.0,3342.0
55 Cnc B c,55 Cnc B,2025,33.747,2.16,5.3,2455491.8,3286.0
HD 101581 b,HIP 56998,2025,4.46569,0.956,0.827,2460014.8496,4675.0
TOI-1453 b,TOI-1453,2025,4.3135225,1.173,2.32,2459392.90013,4975.0
Kepler-139 f,Kepler-139,2025,355.0,6.67,36.0,,5630.0
KMT-2024-BLG-0404L c,KMT-2024-BLG-0404L,2025,,4.33,17.3,,
55 Cnc B b,55 Cnc B,2025,6.7994,1.69,3.5,2455495.7,3286.0
OGLE-2015-BLG-1609L b,OGLE-2015-BLG-1609L,2025,,10.4,76.27881768,,
HD 28471 c,HD 28471,2025,6.1245,2.26,5.72,2452945.806,5766.0
GJ 2126 b,GJ 2126,2025,272.7,13.6,413.1769291,,4159.0
TOI-1203 c,TOI-1203,2025,13.0766,2.2,5.46,2459198.81,5737.0
KMT-2022-BLG-1790L b,KMT-2022-BLG-1790L,2025,,13.5,549.84314411,,
WASP-188 b,WASP-188,2025,5.748916,14.81827249,458.6263913,2457033.12141,6850.0
TOI-2989 b,TOI-2989,2025,3.122832,12.55405838,953.485221,2459302.2242,4672.0
TOI-1691 b,TOI-1691,2024,16.736888935,3.66,14.6,2459922.7255,5759.0
TOI-5082.01,TOI-5082,2024,4.240122,2.54811,7.03,2460284.802643,5670.0
TOI-5232 b,TOI-5232,2024,4.0966692,12.778238,743.71847238,2459857.92806,6500.0
TOI-5110 b,TOI-5110,2024,30.158577,11.98240037,921.7023803,2459503.679,6160.0
TOI-4994 b,TOI-4994,2024,21.491984,8.54124329,88.99195396,2459965.47035,5640.0
TOI-2295 c,TOI-2295,2024,966.5,12.8,1783.01736327,2459302.8,5730.0
KMT-2017-BLG-0849L b,KMT-2017-BLG-0849L,2024,,2.41,6.39,,
KMT-2017-BLG-2331L b,KMT-2017-BLG-2331L,2024,,14.2,171.0,,
KMT-2023-BLG-1743L b,KMT-2023-BLG-1743L,2024,,12.1,6356.56814,,
TOI-5688 A b,TOI-5688 A,2024,2.94815527,10.3,124.0,2459771.26024,3713.0
TOI-4504 b,TOI-4504,2024,2.42614,2.691,7.71,2459038.458,5315.0
TOI-4504 c,TOI-4504,2024,82.97213,11.09689089,1197.32317485,2458400.3906,5315.0
TOI-1295 b,TOI-1295,2024,3.1968838,15.69257298,451.31633794,2459913.37999,6280.0
