objid,ra,dec,z,class
1237674651002601681,180.332090319814,0.503196396309602,0.1570069,GALAXY
1237674649928859820,180.338561234815,-0.326361919721859,0.08312489,GALAXY
1237674649928859823,180.340532672694,-0.234941769711031,0.1787405,GALAXY
1237674649928270134,179.097223359315,-0.364086560666979,0.1062687,GALAXY
1237648721230364858,179.116469102641,-0.149325472991786,0.1066857,GALAXY
1237674650465206383,179.11864358444,0.0638328087313151,0.06454202,GALAXY
1237648721230561378,179.602317090801,-0.0586814638086186,0.2583147,GALAXY
1237648721230561497,179.602877454702,-0.0667072695034991,0.2560571,GALAXY
1237648721230561496,179.603262545789,-0.0738253894116274,0.1072874,GALAXY
1237648722304303234,179.608826700494,0.713105540407175,0.07850849,GALAXY
1237674649928532572,179.608906042608,-0.265303663667123,0.2021609,GALAXY
1237648720693690572,179.611197134167,-0.552533368892136,0.1266351,GALAXY
1237674649391661291,179.61376335731,-0.772347960362847,0.124537,GALAXY
1237674649391661303,179.6147287788,-0.660076080075406,0.124821,GALAXY
1237674649928532272,179.618519714055,-0.278100219636839,0.2438032,GALAXY
1237648722304303236,179.623547423665,0.712801187948889,0.2021022,GALAXY
1237648720156819511,179.625600879929,-0.994070656793397,0.1207138,GALAXY
1237674649391661786,179.62685307582,-0.652163078880326,0.1635484,QSO
1237648720156819646,179.627716818374,-0.907505847605755,0.1230024,GALAXY
1237648721230627123,179.780804898852,-0.0230522853114168,0.2493847,GALAXY
1237648722304368800,179.782005189581,0.742893321293957,0.1326017,GALAXY
1237674650465468698,179.784691106026,0.171016065903653,0.1066423,GALAXY
1237654670822342814,179.788046543343,0.494445160566108,0.07842757,GALAXY
1237674649928597665,179.790449439799,-0.313989089886828,0.1793208,GALAXY
1237648720693756261,179.798480635344,-0.425870507411666,0.08390094,GALAXY
1237674649391726741,179.802485849535,-0.750320262891357,0.1754213,GALAXY
1237648722304368825,179.802754598071,0.706399330583579,0.0621082,GALAXY
1237674649391923314,180.18693464561,-0.776318748803158,0.2632965,GALAXY
1237648721230823571,180.187309512052,-0.156736182606768,0.1656666,GALAXY
1237648721230823569,180.18769604337,-0.16409285054786,0.1630622,GALAXY
1237648721767694514,180.188465325083,0.231263468955005,0.07669608,GALAXY
1237648720157081743,180.18941232363,-0.862737373404934,0.0765324,GALAXY
1237674651002536090,180.193107369641,0.612748767218586,0.1093318,GALAXY
1237648721230823618,180.194075015598,-0.0213729366903294,0.1645887,GALAXY
1237648721230823696,180.194347527023,-0.105574585612044,0.1661376,GALAXY
1237648720693952651,180.196108774784,-0.603322648622023,0.0828532,GALAXY
1237674651002536103,180.206584379144,0.602505593635939,0.1102634,GALAXY
1237674651002536108,180.207491733526,0.456853064913152,0.1246424,GALAXY
1237674651002536115,180.208144025697,0.571006346424253,0.08557518,GALAXY
1237674651002536109,180.210135484199,0.456572742757849,0.2282647,GALAXY
1237674649929121898,180.958533902401,-0.298081754332258,0.1097794,GALAXY
1237648721768022286,180.963395365073,0.306096374345975,0.08308575,GALAXY
1237674651002863766,180.968746804913,0.529675939867906,0.1024405,GALAXY
1237648721231151272,180.970200402232,-0.189382351691659,0.1097064,GALAXY
1237674649929121907,180.973953902724,-0.28145093957784,0.09388182,GALAXY
1237648721231151459,180.97977450534,-0.186426434820175,0.2811758,GALAXY
1237674649929121912,180.980373632687,-0.211471898503181,0.1522468,GALAXY
1237648720693821797,179.955873135123,-0.50102108525215,0.1514758,GALAXY
1237648721230364752,179.157441488896,-0.186133916865289,0.1064471,GALAXY
1237648721230364906,179.158149573703,-0.0873595750495431,0.1093337,GALAXY
1237674650465206417,179.159265163951,0.0446020421940542,0.169179,GALAXY
1237648720693494556,179.163248506324,-0.526698971719524,0.1252853,GALAXY
1237648720156623007,179.166835526691,-0.857964599861989,0.1688994,GALAXY
1237648720156623012,179.166882971491,-0.984444303990676,0.1268452,GALAXY
1237648721230364930,179.176126448479,-0.0377842039644094,0.1098007,GALAXY
1237674650465272023,179.354617866652,0.0738619912285076,0.1278199,GALAXY
1237674649391530171,179.354610362986,-0.772279452494343,0.1319108,GALAXY
1237648722304172335,179.363538577334,0.745035800349692,0.1309584,GALAXY
1237674650465272036,179.364912593623,0.0965521738489397,0.127262,GALAXY
1237648720156688597,179.365032312276,-0.93401849349813,0.05216184,GALAXY
1237674650465272044,179.370103783807,0.175634023538093,0.1667884,GALAXY
1237674649391530184,179.376353585485,-0.749646998492677,0.126273,GALAXY
1237674649928401705,179.380169303978,-0.226755229295108,0.2758901,GALAXY
1237648722304172344,179.38108155765,0.817124279975115,0.06217614,GALAXY
1237648721230495882,179.387035967775,-0.189822473162816,0.1316228,GALAXY
1237648720693624909,179.389038646666,-0.504567698919578,0.1306114,GALAXY
1237648720156754010,179.392968731437,-0.969936524901649,0.1445516,GALAXY
1237674650465337548,179.486757071307,0.205785084950237,0.1081821,GALAXY
1237674649928466474,179.494705544804,-0.372472922713172,0.2596902,QSO
1237674650465337357,179.495257097526,0.098642377091486,0.07683652,GALAXY
1237648720693624962,179.497026816642,-0.484043943685802,0.125779,GALAXY
1237674650465337563,179.499540836148,0.145103865054492,0.07662292,GALAXY
1237648721230496029,179.50243396744,-0.205920167877128,0.1071919,GALAXY
1237674649391595628,179.510695242763,-0.793371662571203,0.1294345,GALAXY
1237648720693887149,180.020473988913,-0.430982766595321,0.08026797,GALAXY
1237648721230758014,180.022223785024,-0.0748523926871167,0.0814418,GALAXY
1237648720693887153,180.023392486421,-0.495322618007001,0.08050773,GALAXY
1237674649391857798,180.029197577849,-0.674112317249989,0.1796427,GALAXY
1237648722304499850,180.033643942299,0.673853579944546,0.0855497,GALAXY
1237648720157016135,180.035630820249,-0.889362893273008,0.0940584,GALAXY
1237674649928729145,180.03724777586,-0.227950896347963,0.105577,GALAXY
1237648720693887170,180.041312134312,-0.597195578682313,0.1695047,GALAXY
1237648722304499873,180.042406422518,0.707160757083687,0.08657988,GALAXY
1237648722304762051,180.608951165447,0.751266535571927,0.2551003,GALAXY
1237674649392119882,180.622416567673,-0.666901863430247,0.0985812,GALAXY
1237674649928990914,180.623503890881,-0.338993872736278,0.1190529,GALAXY
1237674649928990937,180.62886307898,-0.265180344461774,0.09436972,GALAXY
1237674651539603591,180.630416307057,0.893135073399267,0.1458627,GALAXY
1237674650465861892,180.630626862325,0.145032623328838,0.209981,GALAXY
1237648720693821697,179.840390927549,-0.512238556910217,0.08147936,GALAXY
1237648721767563357,179.841057421916,0.226184671443775,0.1253994,GALAXY
1237648720156950780,179.843241204251,-0.964752290817011,0.2778998,GALAXY
1237648720693887171,180.044077913135,-0.593541256074535,0.1696709,GALAXY
1237674649928728709,180.049192924448,-0.34162833190422,0.07986996,GALAXY
1237648721767628992,180.049280560809,0.397703203516634,0.08656619,GALAXY
1237648720693887193,180.056454505054,-0.421827907811314,0.07673916,GALAXY
1237648722304893223,180.984718437072,0.734596759337131,0.2546733,GALAXY
1237674651002863882,180.986103397386,0.480994724476823,0.2103031,GALAXY
1237648721768022300,180.988003150817,0.332020884593805,0.08165723,GALAXY
1237648720157409547,180.993172294546,-0.995097721188696,0.2222206,GALAXY
1237648721231020227,180.647451645202,-0.113480696086834,0.2025895,GALAXY
1237648721767891542,180.652976145203,0.415185303737891,0.2880087,GALAXY
1237674649392119921,180.655014976425,-0.704709357299051,0.09878291,GALAXY
1237648721767891060,180.657348051927,0.269374821257845,0.1043807,GALAXY
1237674651002732740,180.657805937817,0.472578373987166,0.09969305,GALAXY
1237674651539603606,180.6579955058,0.868900153932067,0.09700327,GALAXY
1237674649928991024,180.722291313093,-0.247075645999862,0.1206847,GALAXY
1237648721767891119,180.72410409162,0.340545621090016,0.09988375,GALAXY
1237674649392120565,180.730157960861,-0.825204746687505,0.09258436,GALAXY
1237648721767956574,180.732133443954,0.399208044510324,0.07831498,GALAXY
1237674650465337459,179.423813843875,0.00862388075876832,0.1272706,GALAXY
1237674650465337456,179.424094316675,0.0243472675213706,0.1300089,GALAXY
1237648720156754040,179.431044992395,-0.871540953148321,0.1317823,GALAXY
1237674650465337472,179.431189998225,0.0234718425276449,0.1285746,GALAXY
1237648720156754059,179.44013750752,-0.909599967502259,0.1300367,GALAXY
1237648720156754065,179.44064897859,-0.967600051713917,0.145929,GALAXY
1237648721767366779,179.444608894513,0.297509552781839,0.1079746,GALAXY
1237648721230495965,179.447109637116,-0.185315357510524,0.1260444,GALAXY
1237648721767366887,179.447461837022,0.222706831231948,0.2710081,GALAXY
1237648721767366789,179.451958406788,0.272164113881293,0.1312131,GALAXY
1237674649391530108,179.280128129869,-0.802165892764034,0.126036,GALAXY
1237648722304172113,179.280176849899,0.719729256907824,0.2831936,GALAXY
1237674650465271936,179.283648913627,0.0470761552594864,0.1313363,QSO
1237648720693559919,179.286116221401,-0.612906786638146,0.1308018,GALAXY
1237648720693559645,179.292285621352,-0.620422421963745,0.1315659,GALAXY
1237648721767301252,179.293930218952,0.211387536383116,0.1316177,GALAXY
